OSC  0,   162945347,   162971760,   162962564,   162994505,   162993347 
OSC  1,   179838750,   179866156,   179897952,   179897244,   179933949 
OSC  2,   240545133,   240662946,   240601212,   240665378,   240675456 
OSC  3,   213768999,   213820565,   213819042,   213805373,   213810417 
OSC  4,   207916893,   207977267,   208004772,   207997242,   208011657 
OSC  5,   183626711,   183676345,   183684079,   183717380,   183709903 
OSC  6,   175299781,   175387966,   175374948,   175404475,   175406753 
OSC  7,   200316138,   200408572,   200395518,   200435972,   200502588 
OSC  8,   166853149,   166883404,   166914687,   166945238,   166924448 
OSC  9,   219487059,   219514424,   219565248,   219615929,   219593669 
OSC 10,   268784640,   268847726,   268910130,   268921884,   268958831 
OSC 11,   215506044,   215548012,   215552379,   215572410,   215593732 
OSC 12,   182252356,   182281210,   182338524,   182351899,   182350863 
OSC 13,   196091759,   196147519,   196138847,   196183126,   196247944 
OSC 14,   176320454,   176398192,   176432259,   176424113,   176443814 
OSC 15,   227313689,   227329137,   227371986,   227375590,   227411109 
